voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
99.361,-9.944,-100.626,-17.376,-300.439,-19.527
100.284,-9.8,-99.675,-17.191,-299.539,-19.326
101.282,-9.676,-98.681,-17.029,-298.531,-19.149
102.297,-9.566,-97.65,-16.888,-297.455,-19
103.294,-9.467,-96.646,-16.758,-296.489,-18.852
104.28,-9.376,-95.637,-16.645,-295.455,-18.731
105.269,-9.29,-94.706,-16.528,-294.547,-18.598
106.272,-9.209,-93.633,-16.429,-293.495,-18.489
107.271,-9.134,-92.637,-16.334,-292.547,-18.374
108.274,-9.062,-91.648,-16.243,-291.501,-18.277
109.274,-8.993,-90.649,-16.156,-290.512,-18.176
110.29,-8.928,-89.629,-16.077,-289.479,-18.085
111.271,-8.865,-88.66,-15.996,-288.469,-17.996
112.269,-8.804,-87.658,-15.924,-287.454,-17.924
113.273,-8.745,-86.684,-15.849,-286.614,-17.822
114.283,-8.689,-85.646,-15.783,-285.461,-17.755
115.275,-8.633,-84.649,-15.715,-284.467,-17.683
116.283,-8.582,-83.641,-15.655,-283.508,-17.611
117.25,-8.529,-82.674,-15.591,-282.525,-17.539
118.257,-8.479,-81.653,-15.533,-281.503,-17.48
119.25,-8.429,-80.655,-15.475,-280.575,-17.409
120.25,-8.383,-79.634,-15.423,-279.551,-17.352
121.252,-8.337,-78.692,-15.365,-278.591,-17.282
122.259,-8.292,-77.642,-15.318,-277.489,-17.232
123.262,-8.249,-76.668,-15.267,-276.507,-17.172
124.25,-8.206,-75.696,-15.219,-275.482,-17.122
125.258,-8.163,-74.708,-15.168,-274.532,-17.066
126.275,-8.122,-73.666,-15.126,-273.508,-17.015
127.264,-8.08,-72.687,-15.079,-272.48,-16.963
128.268,-8.037,-71.65,-15.04,-271.445,-16.927
129.288,-8,-70.693,-14.994,-270.571,-16.865
130.258,-7.959,-69.662,-14.955,-269.458,-16.831
131.245,-7.92,-68.668,-14.915,-268.5,-16.788
132.247,-7.881,-67.657,-14.877,-267.564,-16.742
133.249,-7.843,-66.672,-14.837,-266.572,-16.695
134.251,-7.805,-65.642,-14.803,-265.501,-16.66
135.247,-7.768,-64.658,-14.766,-264.522,-16.616
136.253,-7.731,-63.658,-14.734,-263.488,-16.586
137.257,-7.696,-62.718,-14.695,-262.569,-16.539
138.246,-7.659,-61.673,-14.664,-261.512,-16.509
139.258,-7.623,-60.681,-14.633,-260.551,-16.469
140.256,-7.587,-59.687,-14.602,-259.522,-16.439
141.268,-7.553,-58.695,-14.569,-258.566,-16.401
142.261,-7.52,-57.67,-14.542,-257.542,-16.371
143.238,-7.485,-56.698,-14.508,-256.562,-16.339
144.232,-7.45,-55.683,-14.481,-255.575,-16.317
145.253,-7.418,-54.707,-14.447,-254.729,-16.269
146.24,-7.384,-53.669,-14.419,-253.59,-16.246
147.243,-7.35,-52.682,-14.392,-252.575,-16.217
148.25,-7.317,-51.674,-14.367,-251.573,-16.188
149.254,-7.284,-50.707,-14.34,-250.572,-16.157
150.257,-7.252,-49.715,-14.313,-249.518,-16.136
151.259,-7.22,-48.707,-14.288,-248.569,-16.102
152.259,-7.187,-47.691,-14.266,-247.523,-16.081
153.277,-7.155,-46.729,-14.237,-246.571,-16.048
154.277,-7.126,-45.675,-14.216,-245.501,-16.03
155.275,-7.097,-44.682,-14.193,-244.524,-16.002
156.259,-7.067,-43.699,-14.169,-243.516,-15.982
157.259,-7.036,-42.694,-14.144,-242.571,-15.956
158.266,-7.008,-41.654,-14.124,-241.577,-15.93
159.25,-6.977,-40.676,-14.101,-240.555,-15.908
160.246,-6.943,-39.665,-14.082,-239.511,-15.893
161.273,-6.915,-38.697,-14.059,-238.609,-15.858
162.249,-6.881,-37.676,-14.042,-237.496,-15.845
163.245,-6.848,-36.713,-14.019,-236.521,-15.826
164.252,-6.815,-35.701,-14,-235.574,-15.803
165.254,-6.782,-34.708,-13.979,-234.57,-15.779
166.259,-6.747,-33.68,-13.961,-233.513,-15.765
167.269,-6.716,-32.69,-13.941,-232.551,-15.741
168.245,-6.681,-31.678,-13.925,-231.525,-15.729
169.243,-6.648,-30.727,-13.902,-230.615,-15.704
170.225,-6.611,-29.673,-13.886,-229.587,-15.689
171.232,-6.576,-28.683,-13.869,-228.636,-15.666
172.231,-6.538,-27.694,-13.851,-227.585,-15.65
173.245,-6.5,-26.7,-13.832,-226.595,-15.63
174.256,-6.466,-25.687,-13.817,-225.56,-15.614
175.241,-6.429,-24.708,-13.8,-224.555,-15.596
176.233,-6.387,-23.717,-13.913,-223.542,-15.59
177.267,-6.353,-22.729,-14.198,-222.665,-15.559
178.25,-6.312,-21.705,-14.194,-221.542,-15.55
179.259,-6.271,-20.703,-14.147,-220.546,-15.533
180.279,-6.234,-19.695,-14.096,-219.574,-15.518
181.263,-6.193,-18.713,-14.047,-218.587,-15.5
182.25,-6.154,-17.699,-14.005,-217.559,-15.49
183.24,-6.111,-16.7,-13.967,-216.623,-15.471
184.234,-6.066,-15.693,-13.933,-215.613,-15.459
185.247,-6.025,-14.723,-13.884,-214.662,-15.438
186.24,-5.98,-13.684,-13.851,-213.582,-15.428
187.251,-5.938,-12.693,-13.821,-212.597,-15.413
188.237,-5.89,-11.712,-13.794,-211.588,-15.402
189.246,-5.845,-10.735,-13.767,-210.635,-15.386
190.257,-5.796,-9.71,-13.747,-209.625,-15.372
191.252,-5.745,-8.72,-13.724,-208.615,-15.359
192.254,-5.686,-7.707,-13.709,-207.594,-15.352
193.302,-5.649,-6.733,-13.688,-206.704,-15.329
194.248,-5.595,-5.713,-13.67,-205.625,-15.322
195.236,-5.539,-4.717,-13.651,-204.663,-15.31
196.241,-5.483,-3.711,-13.635,-203.713,-15.295
197.244,-5.426,-2.727,-13.614,-202.724,-15.278
198.247,-5.367,-1.708,-13.599,-201.65,-15.272
199.258,-5.31,-0.721,-13.581,-200.669,-15.255
200.257,-5.245,0.286,-13.568,-199.611,-15.249
