voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
99.386,-13.316,-100.638,-13.05,-300.299,-37.375
100.331,-12.806,-99.656,-12.801,-299.392,-36.3
101.327,-12.359,-98.66,-12.577,-298.391,-35.319
102.335,-11.965,-97.632,-12.379,-297.316,-34.501
103.328,-11.597,-96.624,-12.197,-296.359,-33.702
104.315,-11.258,-95.617,-12.038,-295.314,-32.989
105.304,-10.942,-94.687,-11.88,-294.42,-32.289
106.306,-10.645,-93.611,-11.747,-293.371,-31.633
107.303,-10.369,-92.614,-11.622,-292.427,-30.977
108.299,-10.11,-91.625,-11.506,-291.372,-30.414
109.301,-9.861,-90.633,-11.397,-290.389,-29.852
110.31,-9.642,-89.603,-11.302,-289.35,-29.347
111.292,-9.422,-88.64,-11.209,-288.352,-28.878
112.299,-9.215,-87.642,-11.125,-287.344,-28.459
113.298,-9.021,-86.664,-11.044,-286.494,-27.998
114.297,-8.834,-85.626,-10.975,-285.336,-27.651
115.296,-8.659,-84.626,-10.905,-284.356,-27.249
116.296,-8.506,-83.622,-10.846,-283.386,-26.948
117.273,-8.341,-82.644,-10.786,-282.417,-26.62
118.271,-8.18,-81.63,-10.731,-281.386,-26.326
119.262,-8.018,-80.623,-10.681,-280.467,-26.103
120.261,-7.88,-79.621,-10.637,-279.438,-25.855
121.262,-7.718,-78.677,-10.587,-278.482,-25.64
122.264,-7.578,-77.617,-10.551,-277.381,-25.424
123.268,-7.456,-76.639,-10.513,-276.396,-25.182
124.262,-7.303,-75.667,-10.476,-275.381,-24.982
125.267,-7.152,-74.679,-10.439,-274.418,-24.855
126.283,-7.017,-73.646,-10.409,-273.397,-24.652
127.272,-6.875,-72.651,-10.378,-272.374,-24.562
128.268,-6.731,-71.635,-10.352,-271.338,-24.341
129.292,-6.623,-70.673,-10.321,-270.462,-24.264
130.268,-6.471,-69.638,-10.298,-269.345,-24.142
131.259,-6.344,-68.648,-10.272,-268.399,-24.042
132.257,-6.233,-67.633,-10.25,-267.462,-23.904
133.253,-6.062,-66.647,-10.228,-266.466,-23.765
134.257,-5.919,-65.625,-10.208,-265.39,-23.682
135.257,-5.781,-64.634,-10.188,-264.428,-23.59
136.258,-5.643,-63.638,-10.173,-263.385,-23.525
137.263,-5.511,-62.703,-10.148,-262.461,-23.424
138.262,-5.349,-61.653,-10.133,-261.415,-23.378
139.26,-5.198,-60.659,-10.116,-260.442,-23.264
140.262,-5.049,-59.665,-10.1,-259.421,-23.204
141.262,-4.894,-58.664,-10.084,-258.456,-23.142
142.268,-4.767,-57.646,-10.07,-257.437,-23.086
143.243,-4.618,-56.679,-10.053,-256.459,-23.03
144.234,-4.422,-55.654,-10.041,-255.468,-22.986
145.25,-4.284,-54.681,-10.025,-254.624,-22.888
146.242,-4.103,-53.651,-10.014,-253.477,-22.848
147.241,-3.923,-52.654,-10,-252.468,-22.817
148.252,-3.756,-51.659,-9.989,-251.477,-22.767
149.259,-3.604,-50.691,-9.976,-250.466,-22.724
150.259,-3.443,-49.695,-9.964,-249.419,-22.677
151.248,-3.315,-48.689,-9.95,-248.477,-22.631
152.253,-3.139,-47.668,-9.941,-247.425,-22.593
153.269,-2.989,-46.705,-9.926,-246.476,-22.537
154.272,-2.834,-45.653,-9.918,-245.398,-22.503
155.276,-2.672,-44.66,-9.907,-244.427,-22.49
156.256,-2.517,-43.672,-9.895,-243.42,-22.447
157.252,-2.336,-42.668,-9.883,-242.478,-22.409
158.261,-2.219,-41.637,-9.875,-241.492,-22.359
159.246,-2.052,-40.664,-9.864,-240.461,-22.333
160.243,-1.861,-39.639,-9.857,-239.426,-22.323
161.268,-1.717,-38.675,-9.844,-238.527,-22.252
162.246,-1.55,-37.654,-9.837,-237.406,-22.242
163.24,-1.439,-36.688,-9.827,-236.437,-22.219
164.248,-1.294,-35.677,-9.818,-235.481,-22.19
165.246,-1.123,-34.687,-9.807,-234.479,-22.145
166.258,-0.928,-33.664,-9.799,-233.419,-22.128
167.263,-0.808,-32.664,-9.789,-232.466,-22.099
168.233,-0.646,-31.659,-9.781,-231.441,-22.092
169.239,-0.516,-30.708,-9.769,-230.53,-22.047
170.219,-0.332,-29.661,-9.764,-229.496,-22.033
171.226,-0.181,-28.674,-9.755,-228.554,-21.997
172.215,-0.001,-27.672,-9.746,-227.503,-21.97
173.228,0.171,-26.681,-9.737,-226.514,-21.939
174.248,0.279,-25.664,-9.729,-225.47,-21.922
175.226,0.445,-24.685,-9.721,-224.474,-21.898
176.223,0.59,-23.699,-9.712,-223.461,-21.892
177.252,0.708,-22.709,-9.702,-222.577,-21.843
178.238,0.852,-21.684,-9.695,-221.456,-21.837
179.247,1.006,-20.688,-9.687,-220.462,-21.82
180.26,1.124,-19.679,-9.679,-219.484,-21.795
181.242,1.245,-18.697,-9.667,-218.501,-21.772
182.226,1.324,-17.677,-9.659,-217.473,-21.762
183.225,1.427,-16.683,-9.65,-216.539,-21.735
184.217,1.562,-15.667,-9.645,-215.532,-21.725
185.229,1.673,-14.708,-9.634,-214.573,-21.69
186.226,1.825,-13.665,-9.63,-213.498,-21.688
187.232,1.912,-12.69,-9.621,-212.516,-21.664
188.222,2.039,-11.7,-9.613,-211.508,-21.658
189.223,2.141,-10.721,-9.603,-210.558,-21.636
190.24,2.221,-9.695,-9.597,-209.543,-21.62
191.236,2.323,-8.709,-9.588,-208.536,-21.603
192.236,2.468,-7.69,-9.581,-207.518,-21.601
193.288,2.427,-6.718,-9.573,-206.63,-21.564
194.229,2.555,-5.697,-9.567,-205.54,-21.556
195.215,2.655,-4.71,-9.558,-204.579,-21.55
196.222,2.754,-3.692,-9.552,-203.644,-21.529
197.227,2.834,-2.712,-9.543,-202.648,-21.502
198.228,2.933,-1.691,-9.538,-201.572,-21.498
199.235,2.996,-0.702,-9.529,-200.59,-21.481
200.233,3.086,0.293,-9.523,-199.54,-21.473
201.248,3.109,1.253,-9.513,-198.593,-21.448
202.237,3.233,2.276,-9.507,-197.544,-21.442
203.255,3.302,3.27,-9.501,-196.552,-21.42
204.257,3.385,4.272,-9.493,-195.517,-21.412
205.276,3.418,5.277,-9.485,-194.541,-21.392
206.275,3.436,6.296,-9.479,-193.51,-21.383
207.242,3.503,7.285,-9.471,-192.515,-21.369
208.225,3.568,8.293,-9.465,-191.505,-21.37
209.251,3.584,9.282,-9.457,-190.626,-21.336
210.214,3.64,10.305,-9.451,-189.528,-21.331
211.213,3.689,11.303,-9.444,-188.517,-21.315
212.224,3.714,12.301,-9.438,-187.531,-21.307
213.226,3.751,13.288,-9.43,-186.532,-21.287
214.218,3.809,14.283,-9.423,-185.495,-21.285
215.213,3.845,15.273,-9.414,-184.543,-21.265
