voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
-200.484,-15.471,-400.387,-11.516,-600.316,-11.707
-199.485,-15.368,-399.377,-11.386,-599.285,-11.582
-198.551,-15.261,-398.541,-11.263,-598.374,-11.47
-197.491,-15.184,-397.382,-11.164,-597.193,-11.379
-196.516,-15.102,-396.431,-11.072,-596.226,-11.294
-195.477,-15.044,-395.516,-10.985,-595.187,-11.221
-194.508,-14.982,-394.507,-10.902,-594.287,-11.152
-193.479,-14.931,-393.402,-10.83,-593.268,-11.089
-192.484,-14.873,-392.429,-10.757,-592.225,-11.031
-191.475,-14.832,-391.371,-10.693,-591.162,-10.979
-190.603,-14.758,-390.469,-10.625,-590.402,-10.922
-189.492,-14.712,-389.397,-10.566,-589.203,-10.876
-188.498,-14.643,-388.439,-10.504,-588.288,-10.829
-187.504,-14.504,-387.39,-10.45,-587.41,-10.78
-186.512,-14.069,-386.44,-10.393,-586.394,-10.733
-185.473,-13.454,-385.406,-10.342,-585.238,-10.691
-184.52,-12.838,-384.413,-10.292,-584.277,-10.645
-183.484,-12.318,-383.427,-10.251,-583.164,-10.607
-182.543,-11.863,-382.637,-10.191,-582.308,-10.56
-181.478,-11.488,-381.433,-10.152,-581.192,-10.522
-180.505,-11.153,-380.419,-10.112,-580.241,-10.479
-179.505,-10.877,-379.438,-10.07,-579.151,-10.443
-178.561,-10.631,-378.426,-10.029,-578.209,-10.401
-177.571,-10.429,-377.356,-9.997,-577.163,-10.365
-176.537,-10.261,-376.431,-9.956,-576.183,-10.328
-175.508,-10.132,-375.367,-9.926,-575.181,-10.3
-174.583,-9.994,-374.436,-9.887,-574.472,-10.251
-173.481,-9.902,-373.332,-9.86,-573.205,-10.223
-172.497,-9.815,-372.37,-9.827,-572.195,-10.191
-171.537,-9.729,-371.359,-9.802,-571.221,-10.16
-170.523,-9.647,-370.448,-9.771,-570.238,-10.127
-169.478,-9.585,-369.462,-9.74,-569.164,-10.102
-168.497,-9.516,-368.412,-9.713,-568.279,-10.069
-167.477,-9.467,-367.355,-9.695,-567.206,-10.047
-166.544,-9.399,-366.504,-9.658,-566.332,-10.012
-165.507,-9.355,-365.342,-9.642,-565.206,-9.992
-164.552,-9.296,-364.386,-9.619,-564.276,-9.965
-163.526,-9.251,-363.446,-9.595,-563.285,-9.946
-162.54,-9.193,-362.446,-9.57,-562.421,-9.918
-161.51,-9.15,-361.379,-9.554,-561.43,-9.891
-160.511,-9.103,-360.438,-9.529,-560.348,-9.867
-159.51,-9.074,-359.403,-9.515,-559.245,-9.857
-158.61,-9.001,-358.532,-9.489,-558.42,-9.819
-157.509,-8.969,-357.488,-9.474,-557.172,-9.81
-156.527,-8.927,-356.548,-9.45,-556.219,-9.791
-155.546,-8.883,-355.46,-9.436,-555.292,-9.768
-154.562,-8.833,-354.476,-9.415,-554.264,-9.744
-153.541,-8.802,-353.419,-9.4,-553.14,-9.733
-152.597,-8.748,-352.408,-9.382,-552.201,-9.711
-151.578,-8.715,-351.375,-9.374,-551.14,-9.703
-150.607,-8.654,-350.539,-9.344,-550.304,-9.676
-149.531,-8.625,-349.356,-9.336,-549.219,-9.667
-148.551,-8.58,-348.363,-9.322,-548.305,-9.643
-147.528,-8.545,-347.393,-9.307,-547.206,-9.632
-146.558,-8.496,-346.409,-9.29,-546.234,-9.612
-145.533,-8.459,-345.364,-9.282,-545.182,-9.599
-144.526,-8.415,-344.452,-9.263,-544.168,-9.584
-143.503,-8.394,-343.415,-9.254,-543.15,-9.582
-142.574,-8.326,-342.473,-9.233,-542.409,-9.547
-141.492,-8.301,-341.36,-9.225,-541.158,-9.544
-140.523,-8.265,-340.385,-9.211,-540.179,-9.531
-139.559,-8.221,-339.36,-9.203,-539.241,-9.518
-138.58,-8.166,-338.426,-9.188,-538.272,-9.501
-137.528,-8.136,-337.412,-9.176,-537.236,-9.496
-136.546,-8.084,-336.39,-9.162,-536.373,-9.475
-135.516,-8.059,-335.35,-9.16,-535.309,-9.47
-134.564,-8,-334.508,-9.136,-534.385,-9.446
-133.529,-7.966,-333.369,-9.134,-533.213,-9.443
-132.547,-7.918,-332.431,-9.124,-532.237,-9.428
-131.532,-7.881,-331.515,-9.111,-531.201,-9.423
-130.554,-7.829,-330.512,-9.096,-530.281,-9.408
-129.528,-7.795,-329.414,-9.09,-529.268,-9.396
-128.548,-7.75,-328.431,-9.076,-528.215,-9.385
-127.546,-7.73,-327.375,-9.073,-527.159,-9.386
-126.643,-7.652,-326.462,-9.056,-526.374,-9.358
-125.572,-7.615,-325.385,-9.051,-525.181,-9.36
-124.554,-7.578,-324.425,-9.039,-524.254,-9.352
-123.572,-7.531,-323.376,-9.033,-523.369,-9.338
-122.569,-7.475,-322.418,-9.021,-522.368,-9.322
-121.534,-7.447,-321.387,-9.014,-521.241,-9.32
-120.576,-7.387,-320.394,-9.004,-520.289,-9.306
-119.544,-7.352,-319.392,-9.004,-519.227,-9.306
-118.576,-7.289,-318.584,-8.981,-518.367,-9.287
-117.54,-7.251,-317.427,-8.979,-517.281,-9.285
-116.55,-7.201,-316.432,-8.97,-516.343,-9.27
-115.546,-7.164,-315.436,-8.962,-515.293,-9.267
-114.591,-7.112,-314.454,-8.952,-514.362,-9.255
-113.605,-7.056,-313.405,-8.949,-513.348,-9.248
-112.592,-6.999,-312.484,-8.936,-512.378,-9.24
-111.568,-6.972,-311.447,-8.933,-511.389,-9.245
-110.634,-6.884,-310.517,-8.919,-510.678,-9.211
-109.553,-6.853,-309.44,-8.916,-509.415,-9.213
-108.58,-6.803,-308.486,-8.907,-508.381,-9.207
-107.606,-6.748,-307.497,-8.904,-507.387,-9.198
-106.607,-6.68,-306.579,-8.893,-506.373,-9.187
-105.574,-6.645,-305.594,-8.883,-505.286,-9.188
-104.603,-6.579,-304.54,-8.874,-504.372,-9.172
-103.586,-6.544,-303.472,-8.875,-503.29,-9.173
-102.641,-6.47,-302.588,-8.856,-502.364,-9.155
-101.621,-6.43,-301.433,-8.856,-501.228,-9.157
-100.657,-6.354,-300.459,-8.85,-500.275,-9.147
-99.621,-6.307,-299.502,-8.841,-499.257,-9.146
-98.626,-6.236,-298.48,-8.831,-498.367,-9.136
-97.598,-6.186,-297.401,-8.83,-497.383,-9.124
-96.594,-6.125,-296.442,-8.82,-496.308,-9.117
-95.584,-6.093,-295.397,-8.82,-495.226,-9.123
-94.649,-5.99,-294.492,-8.807,-494.406,-9.098
-93.572,-5.949,-293.438,-8.805,-493.193,-9.103
-92.569,-5.895,-292.497,-8.795,-492.245,-9.098
-91.581,-5.835,-291.441,-8.792,-491.329,-9.088
-90.593,-5.761,-290.466,-8.782,-490.321,-9.077
-89.563,-5.723,-289.413,-8.778,-489.215,-9.078
-88.607,-5.649,-288.413,-8.771,-488.289,-9.068
-87.603,-5.596,-287.402,-8.773,-487.248,-9.071
-86.629,-5.505,-286.546,-8.754,-486.405,-9.056
-85.578,-5.457,-285.401,-8.755,-485.347,-9.056
-84.586,-5.388,-284.413,-8.75,-484.418,-9.041
-83.579,-5.337,-283.449,-8.743,-483.327,-9.041
-82.603,-5.26,-282.467,-8.736,-482.35,-9.031
-81.591,-5.196,-281.438,-8.735,-481.283,-9.027
-80.587,-5.125,-280.518,-8.724,-480.259,-9.022
-79.574,-5.089,-279.491,-8.721,-479.24,-9.028
-78.637,-4.978,-278.529,-8.709,-478.457,-9.002
-77.574,-4.935,-277.424,-8.708,-477.224,-9.007
-76.602,-4.872,-276.444,-8.701,-476.232,-9.002
-75.628,-4.798,-275.415,-8.698,-475.274,-8.997
-74.641,-4.703,-274.461,-8.69,-474.292,-8.989
-73.603,-4.653,-273.442,-8.684,-473.255,-8.99
-72.617,-4.564,-272.413,-8.676,-472.363,-8.979
-71.586,-4.515,-271.374,-8.68,-471.327,-8.978
-70.625,-4.422,-270.498,-8.664,-470.394,-8.963
-69.597,-4.359,-269.39,-8.665,-469.259,-8.966
-68.607,-4.277,-268.433,-8.66,-468.293,-8.959
-67.589,-4.215,-267.495,-8.653,-467.276,-8.959
-66.601,-4.126,-266.504,-8.642,-466.364,-8.95
-65.583,-4.06,-265.426,-8.642,-465.35,-8.944
-64.591,-3.981,-264.458,-8.633,-464.322,-8.939
-63.593,-3.939,-263.421,-8.633,-463.28,-8.946
-62.653,-3.814,-262.496,-8.621,-462.487,-8.924
-61.608,-3.752,-261.44,-8.62,-461.326,-8.929
-60.612,-3.678,-260.481,-8.611,-460.407,-8.926
-59.623,-3.595,-259.446,-8.609,-459.519,-8.916
-58.621,-3.502,-258.489,-8.6,-458.506,-8.905
-57.597,-3.449,-257.469,-8.597,-457.366,-8.907
-56.634,-3.351,-256.495,-8.59,-456.396,-8.897
