Voltage(mV),Ferri-Solo,Voltage(mV),Ferri-Solo,Voltage(mV),Ferri-Solo
-200.538,-4.491,-400.382,-2.298,-600.33,-1.29
-199.539,-4.452,-399.379,-2.283,-599.304,-1.273
-198.591,-4.416,-398.541,-2.259,-598.383,-1.244
-197.538,-4.388,-397.376,-2.25,-597.204,-1.237
-196.557,-4.362,-396.429,-2.239,-596.242,-1.22
-195.522,-4.34,-395.511,-2.226,-595.203,-1.214
-194.547,-4.318,-394.509,-2.214,-594.304,-1.198
-193.513,-4.301,-393.395,-2.208,-593.283,-1.186
-192.515,-4.283,-392.428,-2.198,-592.23,-1.176
-191.515,-4.27,-391.37,-2.194,-591.175,-1.181
-190.635,-4.25,-390.474,-2.183,-590.422,-1.154
-189.534,-4.238,-389.399,-2.179,-589.212,-1.158
-188.529,-4.224,-388.437,-2.171,-588.303,-1.152
-187.535,-4.21,-387.39,-2.167,-587.427,-1.14
-186.527,-4.198,-386.437,-2.16,-586.409,-1.126
-185.496,-4.188,-385.405,-2.156,-585.25,-1.127
-184.542,-4.174,-384.422,-2.151,-584.279,-1.114
-183.514,-4.165,-383.439,-2.15,-583.178,-1.119
-182.558,-4.152,-382.643,-2.138,-582.324,-1.102
-181.497,-4.143,-381.441,-2.137,-581.202,-1.103
-180.521,-4.133,-380.427,-2.133,-580.251,-1.092
-179.524,-4.124,-379.438,-2.129,-579.174,-1.092
-178.587,-4.114,-378.434,-2.124,-578.229,-1.082
-177.59,-4.103,-377.366,-2.123,-577.187,-1.078
-176.557,-4.094,-376.441,-2.117,-576.194,-1.073
-175.519,-4.087,-375.375,-2.116,-575.197,-1.082
-174.607,-4.074,-374.447,-2.109,-574.486,-1.052
-173.501,-4.068,-373.34,-2.108,-573.222,-1.057
-172.516,-4.06,-372.384,-2.104,-572.219,-1.054
-171.552,-4.05,-371.373,-2.102,-571.252,-1.048
-170.543,-4.04,-370.453,-2.099,-570.257,-1.039
-169.482,-4.034,-369.466,-2.095,-569.184,-1.044
-168.518,-4.025,-368.426,-2.091,-568.298,-1.031
-167.494,-4.019,-367.36,-2.092,-567.234,-1.036
-166.559,-4.009,-366.515,-2.084,-566.352,-1.019
-165.525,-4.003,-365.355,-2.085,-565.219,-1.024
-164.575,-3.993,-364.391,-2.082,-564.296,-1.017
-163.542,-3.986,-363.464,-2.079,-563.297,-1.02
-162.56,-3.976,-362.449,-2.074,-562.438,-1.011
-161.525,-3.969,-361.376,-2.074,-561.461,-1
-160.535,-3.961,-360.433,-2.07,-560.364,-0.994
-159.524,-3.957,-359.401,-2.07,-559.264,-1.005
-158.626,-3.942,-358.525,-2.065,-558.444,-0.981
-157.527,-3.938,-357.483,-2.064,-557.203,-0.988
-156.535,-3.93,-356.536,-2.059,-556.233,-0.989
-155.559,-3.922,-355.466,-2.059,-555.313,-0.981
-154.574,-3.913,-354.477,-2.055,-554.293,-0.971
-153.557,-3.908,-353.414,-2.054,-553.164,-0.977
-152.615,-3.898,-352.402,-2.051,-552.223,-0.968
-151.595,-3.89,-351.383,-2.052,-551.167,-0.977
-150.618,-3.879,-350.548,-2.044,-550.319,-0.962
-149.554,-3.873,-349.36,-2.045,-549.242,-0.966
-148.555,-3.863,-348.365,-2.043,-548.324,-0.955
-147.542,-3.857,-347.389,-2.041,-547.229,-0.958
-146.577,-3.846,-346.404,-2.038,-546.259,-0.951
-145.55,-3.837,-345.366,-2.038,-545.198,-0.95
-144.534,-3.828,-344.45,-2.034,-544.187,-0.947
-143.512,-3.824,-343.413,-2.033,-543.167,-0.961
-142.587,-3.808,-342.471,-2.029,-542.424,-0.933
-141.513,-3.803,-341.362,-2.029,-541.177,-0.943
-140.538,-3.795,-340.378,-2.026,-540.203,-0.943
-139.573,-3.785,-339.363,-2.026,-539.253,-0.942
-138.588,-3.772,-338.414,-2.023,-538.291,-0.935
-137.536,-3.765,-337.394,-2.02,-537.253,-0.944
-136.56,-3.754,-336.374,-2.018,-536.393,-0.932
-135.53,-3.748,-335.334,-2.019,-535.331,-0.937
-134.581,-3.733,-334.489,-2.013,-534.402,-0.921
-133.546,-3.726,-333.358,-2.014,-533.226,-0.93
-132.553,-3.713,-332.417,-2.012,-532.262,-0.925
-131.536,-3.706,-331.5,-2.009,-531.218,-0.931
-130.57,-3.693,-330.499,-2.005,-530.305,-0.924
-129.548,-3.683,-329.397,-2.005,-529.278,-0.921
-128.559,-3.672,-328.422,-2.002,-528.229,-0.918
-127.562,-3.667,-327.363,-2.003,-527.164,-0.933
-126.661,-3.644,-326.448,-1.999,-526.388,-0.911
-125.58,-3.636,-325.379,-1.998,-525.194,-0.923
-124.571,-3.625,-324.412,-1.995,-524.275,-0.924
-123.585,-3.613,-323.368,-1.995,-523.379,-0.918
-122.576,-3.597,-322.399,-1.992,-522.389,-0.91
-121.54,-3.589,-321.378,-1.991,-521.26,-0.918
-120.583,-3.571,-320.385,-1.989,-520.311,-0.91
-119.554,-3.563,-319.389,-1.99,-519.245,-0.921
-118.586,-3.543,-318.573,-1.984,-518.385,-0.908
-117.545,-3.534,-317.409,-1.985,-517.302,-0.915
-116.559,-3.518,-316.418,-1.982,-516.367,-0.908
-115.556,-3.507,-315.44,-1.981,-515.318,-0.913
-114.594,-3.491,-314.452,-1.978,-514.375,-0.908
-113.609,-3.474,-313.407,-1.978,-513.359,-0.91
-112.598,-3.458,-312.475,-1.975,-512.397,-0.908
-111.582,-3.45,-311.439,-1.975,-511.417,-0.922
-110.638,-3.421,-310.512,-1.971,-510.697,-0.893
-109.568,-3.412,-309.439,-1.971,-509.428,-0.903
-108.583,-3.397,-308.48,-1.969,-508.405,-0.903
-107.616,-3.377,-307.492,-1.969,-507.407,-0.902
-106.614,-3.355,-306.576,-1.966,-506.394,-0.897
-105.579,-3.345,-305.585,-1.964,-505.305,-0.905
-104.619,-3.321,-304.538,-1.961,-504.385,-0.896
-103.591,-3.311,-303.474,-1.962,-503.3,-0.903
-102.65,-3.283,-302.587,-1.957,-502.389,-0.892
-101.629,-3.271,-301.429,-1.958,-501.256,-0.899
-100.665,-3.243,-300.448,-1.956,-500.297,-0.896
-99.636,-3.226,-299.502,-1.954,-499.283,-0.901
-98.636,-3.2,-298.474,-1.952,-498.383,-0.897
-97.602,-3.181,-297.402,-1.951,-497.395,-0.892
-96.603,-3.159,-296.437,-1.949,-496.329,-0.889
-95.595,-3.147,-295.394,-1.949,-495.246,-0.902
-94.658,-3.103,-294.488,-1.946,-494.428,-0.883
-93.579,-3.09,-293.436,-1.946,-493.215,-0.894
-92.585,-3.068,-292.493,-1.942,-492.269,-0.895
-91.599,-3.043,-291.441,-1.942,-491.348,-0.89
-90.607,-3.013,-290.453,-1.939,-490.338,-0.885
-89.581,-2.995,-289.418,-1.938,-489.242,-0.892
-88.611,-2.965,-288.403,-1.936,-488.304,-0.886
-87.611,-2.943,-287.393,-1.937,-487.264,-0.894
-86.638,-2.901,-286.551,-1.931,-486.419,-0.884
-85.586,-2.882,-285.392,-1.932,-485.362,-0.89
-84.597,-2.853,-284.409,-1.93,-484.436,-0.882
-83.59,-2.829,-283.443,-1.929,-483.337,-0.886
-82.615,-2.793,-282.452,-1.927,-482.362,-0.882
-81.597,-2.764,-281.432,-1.927,-481.297,-0.883
-80.599,-2.73,-280.506,-1.924,-480.275,-0.881
-79.579,-2.714,-279.483,-1.923,-479.247,-0.892
-78.639,-2.66,-278.528,-1.92,-478.465,-0.872
-77.585,-2.642,-277.421,-1.919,-477.236,-0.881
-76.607,-2.612,-276.432,-1.917,-476.25,-0.883
-75.636,-2.576,-275.409,-1.917,-475.29,-0.881
-74.65,-2.527,-274.459,-1.915,-474.312,-0.878
-73.606,-2.501,-273.432,-1.913,-473.271,-0.884
-72.621,-2.457,-272.408,-1.912,-472.381,-0.876
-71.593,-2.438,-271.377,-1.911,-471.338,-0.881
-70.638,-2.384,-270.508,-1.907,-470.41,-0.872
-69.604,-2.353,-269.382,-1.908,-469.278,-0.877
-68.608,-2.311,-268.428,-1.906,-468.313,-0.874
-67.595,-2.281,-267.485,-1.904,-467.281,-0.878
-66.617,-2.231,-266.5,-1.901,-466.376,-0.874
-65.59,-2.197,-265.422,-1.901,-465.369,-0.873
-64.603,-2.154,-264.459,-1.899,-464.336,-0.872
-63.595,-2.13,-263.414,-1.899,-463.301,-0.88
-62.654,-2.062,-262.497,-1.895,-462.501,-0.866
-61.612,-2.03,-261.444,-1.895,-461.346,-0.875
-60.621,-1.992,-260.474,-1.893,-460.426,-0.876
-59.636,-1.944,-259.451,-1.892,-459.536,-0.87
-58.633,-1.891,-258.488,-1.89,-458.52,-0.866
-57.608,-1.861,-257.472,-1.889,-457.385,-0.87
-56.642,-1.802,-256.484,-1.887,-456.406,-0.866
-55.618,-1.771,-255.493,-1.887,-455.332,-0.872
-54.654,-1.705,-254.658,-1.882,-454.441,-0.865
-53.614,-1.67,-253.505,-1.882,-453.348,-0.869
-52.632,-1.623,-252.495,-1.881,-452.38,-0.866
-51.631,-1.583,-251.504,-1.879,-451.319,-0.869
-50.655,-1.525,-250.492,-1.877,-450.356,-0.866
-49.654,-1.474,-249.448,-1.877,-449.325,-0.866
-48.656,-1.417,-248.5,-1.874,-448.325,-0.865
-47.632,-1.388,-247.45,-1.874,-447.327,-0.873
-46.673,-1.306,-246.505,-1.871,-446.562,-0.858
-45.618,-1.274,-245.432,-1.87,-445.346,-0.863
-44.626,-1.224,-244.454,-1.868,-444.339,-0.864
-43.638,-1.166,-243.451,-1.868,-443.364,-0.864
-42.634,-1.105,-242.502,-1.866,-442.368,-0.86
-41.603,-1.069,-241.516,-1.864,-441.309,-0.865
-40.628,-1.005,-240.488,-1.862,-440.397,-0.86
-39.61,-0.971,-239.443,-1.862,-439.35,-0.864
-38.641,-0.901,-238.55,-1.858,-438.434,-0.858
-37.626,-0.865,-237.426,-1.858,-437.33,-0.861
-36.657,-0.797,-236.461,-1.857,-436.386,-0.86
-35.641,-0.749,-235.504,-1.855,-435.397,-0.862
-34.645,-0.683,-234.499,-1.853,-434.495,-0.859
-33.627,-0.635,-233.444,-1.852,-433.515,-0.856
-32.629,-0.58,-232.483,-1.85,-432.458,-0.856
-31.629,-0.549,-231.462,-1.849,-431.382,-0.861
-30.675,-0.457,-230.543,-1.847,-430.534,-0.851
-29.621,-0.422,-229.519,-1.847,-429.352,-0.857
-28.626,-0.372,-228.568,-1.844,-428.395,-0.858
-27.645,-0.317,-227.521,-1.843,-427.461,-0.854
-26.648,-0.253,-226.534,-1.841,-426.441,-0.852
-25.631,-0.216,-225.501,-1.84,-425.354,-0.856
-24.66,-0.153,-224.495,-1.838,-424.413,-0.852
-23.66,-0.106,-223.474,-1.838,-423.372,-0.856
-22.678,-0.035,-222.603,-1.833,-422.503,-0.851
-21.653,0.009,-221.47,-1.833,-421.455,-0.853
-20.653,0.063,-220.483,-1.832,-420.523,-0.85
-19.656,0.109,-219.501,-1.83,-419.455,-0.851
-18.665,0.173,-218.513,-1.828,-418.492,-0.85
-17.649,0.22,-217.491,-1.827,-417.455,-0.85
-16.65,0.278,-216.56,-1.825,-416.452,-0.849
-15.642,0.307,-215.542,-1.824,-415.437,-0.854
-14.676,0.383,-214.592,-1.821,-414.656,-0.844
-13.645,0.422,-213.511,-1.82,-413.463,-0.848
-12.651,0.466,-212.532,-1.819,-412.492,-0.848
-11.666,0.512,-211.527,-1.817,-411.542,-0.847
-10.684,0.581,-210.568,-1.815,-410.572,-0.845
-9.659,0.615,-209.564,-1.814,-409.556,-0.848
-8.674,0.671,-208.553,-1.811,-408.673,-0.843
-7.665,0.707,-207.527,-1.812,-407.618,-0.845
-6.684,0.769,-206.65,-1.807,-406.67,-0.84
-5.669,0.806,-205.555,-1.807,-405.521,-0.843
-4.669,0.856,-204.599,-1.806,-404.536,-0.841
-3.666,0.897,-203.662,-1.804,-403.489,-0.842
-2.67,0.95,-202.665,-1.801,-402.546,-0.84
-1.66,0.98,-201.593,-1.8,-401.512,-0.839
-0.672,1.027,-200.597,-1.797,-400.46,-0.838
0.331,1.054,-199.558,-1.797,-399.407,-0.843
1.293,1.118,-198.611,-1.794,-398.571,-0.835
2.317,1.147,-197.552,-1.793,-397.4,-0.839
3.308,1.187,-196.575,-1.79,-396.458,-0.839
4.308,1.23,-195.53,-1.789,-395.527,-0.837
5.319,1.271,-194.556,-1.787,-394.535,-0.834
6.328,1.298,-193.527,-1.785,-393.418,-0.836
7.316,1.347,-192.534,-1.783,-392.451,-0.833
8.34,1.366,-191.523,-1.783,-391.385,-0.836
9.314,1.418,-190.645,-1.778,-390.487,-0.832
10.339,1.443,-189.536,-1.778,-389.411,-0.834
11.34,1.477,-188.541,-1.776,-388.451,-0.831
12.342,1.501,-187.548,-1.774,-387.401,-0.832
13.328,1.532,-186.548,-1.771,-386.445,-0.831
14.319,1.562,-185.507,-1.771,-385.416,-0.83
15.309,1.597,-184.561,-1.768,-384.431,-0.83
16.326,1.61,-183.528,-1.767,-383.44,-0.833
17.297,1.662,-182.57,-1.763,-382.654,-0.825
18.336,1.673,-181.512,-1.762,-381.454,-0.828
19.327,1.699,-180.538,-1.76,-380.441,-0.827
20.317,1.729,-179.544,-1.759,-379.45,-0.826
21.326,1.756,-178.587,-1.757,-378.436,-0.824
22.34,1.771,-177.602,-1.754,-377.369,-0.827
23.323,1.797,-176.575,-1.752,-376.446,-0.824
24.335,1.811,-175.539,-1.751,-375.382,-0.826
25.321,1.839,-174.614,-1.746,-374.449,-0.822
26.33,1.851,-173.506,-1.746,-373.351,-0.824
27.312,1.873,-172.527,-1.744,-372.386,-0.822
28.311,1.892,-171.562,-1.742,-371.375,-0.824
29.312,1.919,-170.557,-1.739,-370.464,-0.822
30.336,1.925,-169.496,-1.737,-369.476,-0.82
31.321,1.945,-168.531,-1.734,-368.428,-0.818
32.33,1.953,-167.501,-1.734,-367.368,-0.822
33.301,1.981,-166.578,-1.73,-366.523,-0.816
34.336,1.987,-165.541,-1.728,-365.355,-0.818
35.335,1.999,-164.582,-1.725,-364.401,-0.818
36.326,2.008,-163.552,-1.723,-363.462,-0.817
37.319,2.024,-162.559,-1.72,-362.458,-0.815
38.336,2.031,-161.536,-1.718,-361.385,-0.816
39.322,2.041,-160.539,-1.716,-360.444,-0.814
40.313,2.05,-159.53,-1.715,-359.419,-0.816
41.299,2.068,-158.639,-1.709,-358.542,-0.813
42.32,2.071,-157.529,-1.708,-357.491,-0.813
43.319,2.081,-156.539,-1.706,-356.553,-0.811
44.318,2.087,-155.566,-1.703,-355.476,-0.812
45.312,2.1,-154.582,-1.7,-354.486,-0.81
46.331,2.103,-153.559,-1.699,-353.426,-0.81
47.323,2.109,-152.62,-1.694,-352.411,-0.808
48.325,2.111,-151.599,-1.693,-351.385,-0.812
49.308,2.125,-150.623,-1.688,-350.553,-0.805
50.328,2.125,-149.557,-1.687,-349.357,-0.807
51.326,2.129,-148.568,-1.683,-348.37,-0.807
52.319,2.13,-147.547,-1.681,-347.392,-0.807
53.3,2.139,-146.578,-1.677,-346.403,-0.805
54.317,2.14,-145.552,-1.674,-345.366,-0.806
55.305,2.148,-144.538,-1.67,-344.448,-0.804
56.317,2.146,-143.518,-1.669,-343.414,-0.805
57.308,2.153,-142.595,-1.663,-342.474,-0.801
58.315,2.154,-141.515,-1.662,-341.361,-0.803
