Voltaje(V),Corriente(A)
-1.00122E-01,2.39653E-04
-9.84268E-02,2.75336E-04
-9.63360E-02,2.84670E-04
-9.42743E-02,2.88407E-04
-9.22490E-02,2.90070E-04
-9.02041E-02,2.90989E-04
-8.82029E-02,2.91626E-04
-8.61763E-02,2.91874E-04
-8.41539E-02,2.91752E-04
-8.21436E-02,2.91581E-04
-8.01287E-02,2.91610E-04
-7.81301E-02,2.91627E-04
-7.61031E-02,2.91324E-04
-7.40932E-02,2.90952E-04
-7.20875E-02,2.90817E-04
-7.00751E-02,2.90789E-04
-6.80668E-02,2.90524E-04
-6.60624E-02,2.90175E-04
-6.40554E-02,2.89922E-04
-6.20567E-02,2.89892E-04
-6.00352E-02,2.89745E-04
-5.80203E-02,2.89362E-04
-5.60195E-02,2.89034E-04
-5.40167E-02,2.88961E-04
-5.20085E-02,2.88916E-04
-5.00049E-02,2.88573E-04
-4.79704E-02,2.88180E-04
-4.59751E-02,2.88081E-04
-4.39744E-02,2.88085E-04
-4.19678E-02,2.87865E-04
-3.99696E-02,2.87490E-04
-3.79555E-02,2.87282E-04
-3.59419E-02,2.87312E-04
-3.39420E-02,2.87238E-04
-3.19267E-02,2.86930E-04
-2.99289E-02,2.86659E-04
-2.79336E-02,2.86655E-04
-2.59187E-02,2.86697E-04
-2.39196E-02,2.86490E-04
-2.19122E-02,2.86198E-04
-1.98906E-02,2.86155E-04
-1.78970E-02,2.86239E-04
-1.59030E-02,2.86148E-04
-1.38952E-02,2.85863E-04
-1.18894E-02,2.85746E-04
-9.89205E-03,2.85838E-04
-7.90177E-03,2.85835E-04
-5.88853E-03,2.85578E-04
-3.88573E-03,2.85378E-04
-1.89961E-03,2.85483E-04
1.01104E-04,2.85599E-04
2.12394E-03,2.85404E-04
4.13258E-03,2.85144E-04
6.12913E-03,2.85195E-04
8.11691E-03,2.85358E-04
1.01243E-02,2.85227E-04
1.21430E-02,2.84933E-04
1.41253E-02,2.84877E-04
1.61377E-02,2.85060E-04
1.81493E-02,2.85070E-04
2.01521E-02,2.84801E-04
2.21486E-02,2.84664E-04
2.41468E-02,2.84822E-04
2.61463E-02,2.84962E-04
2.81595E-02,2.84761E-04
3.01536E-02,2.84573E-04
3.21635E-02,2.84711E-04
3.41700E-02,2.84903E-04
3.61574E-02,2.84831E-04
3.81615E-02,2.84605E-04
4.01588E-02,2.84627E-04
4.21708E-02,2.84895E-04
4.41569E-02,2.84967E-04
4.61543E-02,2.84743E-04
4.81525E-02,2.84687E-04
5.01453E-02,2.84943E-04
5.21602E-02,2.85092E-04
5.41751E-02,2.84953E-04
5.61875E-02,2.84889E-04
5.81691E-02,2.85074E-04
6.01631E-02,2.85303E-04
6.21634E-02,2.85250E-04
6.41662E-02,2.85161E-04
6.61861E-02,2.85312E-04
6.81605E-02,2.85528E-04
7.01755E-02,2.85642E-04
7.21666E-02,2.85637E-04
7.41660E-02,2.85750E-04
7.61730E-02,2.85926E-04
7.81687E-02,2.86078E-04
8.01765E-02,2.86219E-04
8.21793E-02,2.86344E-04
8.41725E-02,2.86448E-04
8.61753E-02,2.86638E-04
8.81702E-02,2.86931E-04
9.01693E-02,2.87119E-04
9.21854E-02,2.87140E-04
9.41590E-02,2.87314E-04
9.61573E-02,2.87757E-04
9.81596E-02,2.88057E-04
1.00160E-01,2.88031E-04
1.02165E-01,2.88192E-04
1.04152E-01,2.88690E-04
1.06172E-01,2.89106E-04
1.08167E-01,2.89151E-04
1.10156E-01,2.89224E-04
1.12142E-01,2.89758E-04
1.14162E-01,2.90326E-04
1.16156E-01,2.90495E-04
1.18173E-01,2.90485E-04
1.20160E-01,2.90973E-04
1.22158E-01,2.91703E-04
1.24159E-01,2.91985E-04
1.26148E-01,2.92003E-04
1.28163E-01,2.92453E-04
1.30152E-01,2.93214E-04
1.32156E-01,2.93706E-04
1.34161E-01,2.93807E-04
1.36149E-01,2.94106E-04
1.38151E-01,2.94881E-04
1.40146E-01,2.95550E-04
1.42153E-01,2.95812E-04
1.44153E-01,2.96075E-04
1.46156E-01,2.96771E-04
1.48152E-01,2.97592E-04
1.50141E-01,2.98013E-04
1.52147E-01,2.98285E-04
1.54151E-01,2.98899E-04
1.56150E-01,2.99761E-04
1.58150E-01,3.00375E-04
1.60149E-01,3.00711E-04
1.62149E-01,3.01245E-04
1.64134E-01,3.02095E-04
1.66138E-01,3.02888E-04
1.68140E-01,3.03351E-04
1.70140E-01,3.03819E-04
1.72144E-01,3.04602E-04
1.74140E-01,3.05422E-04
1.76140E-01,3.05999E-04
1.78147E-01,3.06431E-04
1.80129E-01,3.07101E-04
1.82153E-01,3.07924E-04
1.84159E-01,3.08608E-04
1.86159E-01,3.09067E-04
1.88157E-01,3.09580E-04
1.90147E-01,3.10287E-04
1.92164E-01,3.11018E-04
1.94164E-01,3.11512E-04
1.96166E-01,3.11888E-04
1.98176E-01,3.12460E-04
2.00164E-01,3.13147E-04
2.02164E-01,3.13653E-04
2.04175E-01,3.13906E-04
2.06161E-01,3.14241E-04
2.08180E-01,3.14814E-04
2.10194E-01,3.15324E-04
2.12194E-01,3.15499E-04
2.14198E-01,3.15641E-04
2.16204E-01,3.16010E-04
2.18202E-01,3.16402E-04
2.20215E-01,3.16542E-04
2.22211E-01,3.16518E-04
2.24221E-01,3.16649E-04
2.26220E-01,3.16909E-04
2.28227E-01,3.16990E-04
2.30232E-01,3.16835E-04
2.32240E-01,3.16704E-04
2.34249E-01,3.16798E-04
2.36253E-01,3.16836E-04
2.38241E-01,3.16577E-04
2.40252E-01,3.16285E-04
2.42261E-01,3.16214E-04
2.44261E-01,3.16150E-04
2.46271E-01,3.15857E-04
2.48273E-01,3.15474E-04
2.50269E-01,3.15207E-04
2.52259E-01,3.15040E-04
2.54266E-01,3.14727E-04
2.56272E-01,3.14303E-04
