Voltaje(V),Corriente(A)
-1.01E-01,3.90E-04
-9.86E-02,4.55E-04
-9.64E-02,4.69E-04
-9.44E-02,4.75E-04
-9.23E-02,4.78E-04
-9.03E-02,4.79E-04
-8.83E-02,4.79E-04
-8.63E-02,4.79E-04
-8.43E-02,4.79E-04
-8.23E-02,4.79E-04
-8.03E-02,4.79E-04
-7.83E-02,4.78E-04
-7.62E-02,4.78E-04
-7.42E-02,4.78E-04
-7.22E-02,4.77E-04
-7.02E-02,4.77E-04
-6.82E-02,4.76E-04
-6.62E-02,4.76E-04
-6.42E-02,4.76E-04
-6.22E-02,4.75E-04
-6.02E-02,4.75E-04
-5.82E-02,4.74E-04
-5.62E-02,4.74E-04
-5.42E-02,4.74E-04
-5.22E-02,4.73E-04
-5.02E-02,4.73E-04
-4.82E-02,4.73E-04
-4.61E-02,4.72E-04
-4.41E-02,4.72E-04
-4.21E-02,4.71E-04
-4.01E-02,4.71E-04
-3.81E-02,4.71E-04
-3.61E-02,4.71E-04
-3.41E-02,4.70E-04
-3.21E-02,4.70E-04
-3.01E-02,4.70E-04
-2.81E-02,4.70E-04
-2.61E-02,4.69E-04
-2.41E-02,4.69E-04
-2.21E-02,4.69E-04
-2.00E-02,4.69E-04
-1.80E-02,4.68E-04
-1.60E-02,4.68E-04
-1.40E-02,4.68E-04
-1.20E-02,4.68E-04
-9.99E-03,4.67E-04
-7.98E-03,4.67E-04
-5.96E-03,4.67E-04
-3.96E-03,4.67E-04
-1.96E-03,4.67E-04
8.07E-05,4.66E-04
2.09E-03,4.66E-04
4.11E-03,4.66E-04
6.12E-03,4.66E-04
8.13E-03,4.66E-04
1.02E-02,4.66E-04
1.22E-02,4.66E-04
1.42E-02,4.65E-04
1.62E-02,4.65E-04
1.82E-02,4.65E-04
2.02E-02,4.65E-04
2.22E-02,4.65E-04
2.43E-02,4.64E-04
2.63E-02,4.64E-04
2.83E-02,4.64E-04
3.03E-02,4.64E-04
3.23E-02,4.64E-04
3.43E-02,4.64E-04
3.63E-02,4.64E-04
3.84E-02,4.63E-04
4.04E-02,4.63E-04
4.24E-02,4.63E-04
4.44E-02,4.63E-04
4.64E-02,4.63E-04
4.84E-02,4.63E-04
5.04E-02,4.63E-04
5.24E-02,4.63E-04
5.45E-02,4.63E-04
5.65E-02,4.63E-04
5.85E-02,4.63E-04
6.05E-02,4.63E-04
6.25E-02,4.63E-04
6.45E-02,4.63E-04
6.65E-02,4.63E-04
6.85E-02,4.63E-04
7.05E-02,4.63E-04
7.25E-02,4.63E-04
7.45E-02,4.63E-04
7.65E-02,4.63E-04
7.85E-02,4.63E-04
8.05E-02,4.63E-04
8.25E-02,4.63E-04
8.45E-02,4.63E-04
8.65E-02,4.63E-04
8.85E-02,4.63E-04
9.05E-02,4.63E-04
9.26E-02,4.63E-04
9.45E-02,4.63E-04
9.65E-02,4.63E-04
9.85E-02,4.62E-04
1.01E-01,4.62E-04
1.03E-01,4.62E-04
1.05E-01,4.62E-04
1.07E-01,4.62E-04
1.09E-01,4.62E-04
1.10E-01,4.62E-04
1.12E-01,4.62E-04
1.14E-01,4.61E-04
1.16E-01,4.61E-04
1.18E-01,4.61E-04
1.20E-01,4.61E-04
1.22E-01,4.61E-04
1.24E-01,4.61E-04
1.26E-01,4.61E-04
1.28E-01,4.61E-04
1.30E-01,4.61E-04
1.32E-01,4.61E-04
1.34E-01,4.61E-04
1.36E-01,4.61E-04
1.38E-01,4.61E-04
1.40E-01,4.61E-04
1.42E-01,4.62E-04
1.44E-01,4.62E-04
1.46E-01,4.62E-04
1.48E-01,4.62E-04
1.50E-01,4.63E-04
1.52E-01,4.63E-04
1.54E-01,4.63E-04
1.56E-01,4.63E-04
1.58E-01,4.64E-04
1.60E-01,4.64E-04
