tiempo (min),3er armonico
0.3686609324,3.55E-11
1.266972546,-0.07694521667
2.433215465,0.01061343654
3.601307852,0.1161275556
4.761365556,0.33540984
5.925396282,0.4937714947
7.112217193,0.4583245976
8.266394573,0.4121413244
9.413700888,0.2927030456
10.57899581,0.2282134382
11.72993003,0.2673688339
12.88502711,0.2133708621
14.0449396,0.2281273635
15.20406565,0.168807375
16.35734407,0.2578623202
17.51311632,0.142648153
18.67031684,0.2422240799
19.82653605,0.1370827947
20.9844262,0.3067118619
22.1391901,0.2954094708
23.29072027,0.3146682258
24.44278918,0.2772059547
25.59313435,0.2707587419
26.75729332,0.29716277
27.93769202,0.1241216871
29.11214187,0.3399731157
30.28759692,0.2055218723
31.44650861,0.1574235118
32.59865422,0.2302546806
33.76601801,0.2054486399
34.93323406,0.2382837857
36.09447424,0.333397676
37.25049229,0.2541118277
38.40953096,0.1848460827
39.57019719,0.3016674792
40.71757706,0.1238294157
41.84957215,0.3167030445
43.00041773,0.4455368364
44.14926547,0.2007888519
45.2998709,0.3683104273
46.45155572,0.2910105431
47.60398735,0.2349141514
48.76008775,0.316146891
49.91355162,0.3258312842
51.06812505,0.455863225
52.21887192,0.2787521581
53.37643014,0.3897132191
54.53019891,0.4021051539
55.68243378,0.3370619367
56.83128153,0.4634932764
57.98405892,0.3436596158
59.13673887,0.4046019639
60.28584311,0.4660317252
61.43722051,0.4112070725
62.5964044,0.4167997875
63.75021654,0.2976950308
64.90253879,0.4968830962
66.05912388,0.3053389869
67.21094259,0.3642831898
68.36040263,0.1999389592
69.5109408,0.2717940801
70.66182472,0.3128349483
71.8108818,0.2972489571
72.96681876,0.4313396452
74.12071702,0.4111542938
75.27003625,0.4336490271
76.42299217,0.3557713454
77.57196251,0.4611746458
78.72517115,0.5342729825
79.88475423,0.5389774498
81.03431988,0.4493983128
82.17230971,0.5783660996
83.31788852,0.4172062775
84.46844869,0.4693100428
85.60425964,0.4922742428
86.71949449,0.4270873095
87.85089803,0.5476422981
89.00697014,0.6069964804
90.17384296,0.561803146
91.32927448,0.5558706696
92.48924417,0.5528925732
93.64452419,0.6919802688
94.80075346,0.6475170193
95.94809309,0.548990842
97.10188323,0.6357257689
98.23690146,0.6604388313
