T,Im
0,1.13E-04
0.01,-1.20E-04
0.02,-8.51E-05
0.03,-7.52E-05
0.04,-7.12E-05
0.05,-6.89E-05
0.06,-6.76E-05
0.07,-6.67E-05
0.08,-6.61E-05
0.09,-6.56E-05
0.1,-6.53E-05
0.11,-6.50E-05
0.12,-6.48E-05
0.13,-6.46E-05
0.14,-6.45E-05
0.15,-6.43E-05
0.16,-6.42E-05
0.17,-6.41E-05
0.18,-6.41E-05
0.19,-6.40E-05
0.2,-6.39E-05
0.21,-6.39E-05
0.22,-6.38E-05
0.23,-6.38E-05
0.24,-6.37E-05
0.25,-6.37E-05
0.26,-6.36E-05
0.27,-6.36E-05
0.28,-6.36E-05
0.29,-6.35E-05
0.3,-6.35E-05
0.31,-6.35E-05
0.32,-6.34E-05
0.33,-6.34E-05
0.34,-6.34E-05
0.35,-6.34E-05
0.36,-6.34E-05
0.37,-6.33E-05
0.38,-6.33E-05
0.39,-6.33E-05
0.4,-6.33E-05
0.41,-6.33E-05
0.42,-6.32E-05
0.43,-6.32E-05
0.44,-6.32E-05
0.45,-6.32E-05
0.46,-6.31E-05
0.47,-6.31E-05
0.48,-6.31E-05
0.49,-6.31E-05
0.5,-6.31E-05
0.51,-6.31E-05
0.52,-6.31E-05
0.53,-6.30E-05
0.54,-6.30E-05
0.55,-6.30E-05
0.56,-6.30E-05
0.57,-6.30E-05
0.58,-6.30E-05
0.59,-6.30E-05
0.6,-6.29E-05
0.61,-6.29E-05
0.71,-6.28E-05
0.81,-6.27E-05
0.91,-6.26E-05
1.01,-6.25E-05
1.11,-6.24E-05
1.21,-6.23E-05
1.31,-6.22E-05
1.41,-6.21E-05
1.51,-6.20E-05
1.61,-6.19E-05
2.61,-6.12E-05
3.61,-6.05E-05
4.61,-6.00E-05
5.61,-5.96E-05
6.61,-5.91E-05
7.61,-5.87E-05
8.61,-5.84E-05
9.61,-5.81E-05
10.61,-5.78E-05
11.61,-5.75E-05
21.61,-5.55E-05
31.61,-5.42E-05
41.61,-5.33E-05
51.61,-5.27E-05
61.61,-5.21E-05
71.61,-5.17E-05
81.61,-5.14E-05
91.61,-5.12E-05
101.61,-5.11E-05
111.61,-5.10E-05
120,-5.10E-05
